NEG+1p+PRES+kuweza	we are not able	hatuwezi
2s+IMP+kuja	come	njoo
2p+IMP+kuja	come	njooni
2s+IMP+kuleta	bring	lete
2p+IMP+kuleta	bring	leteni
2s+IMP+kunywa	drink	kunywa
2p+IMP+kunywa	drink	kunyweni
2s+IMP+kuangalia	look	angalia
2p+IMP+kuangalia	look	angalieni
2s+IMP+kusaidia	help	saidia
2p+IMP+kusaidia	help	saidieni
2s+IMP+kujibu	answer	jibu
2p+IMP+kujibu	answer	jibuni
2s+IMP+kujifunza	learn	jifunze
2p+IMP+kujifunza	learn	jifunzeni
1s+PRES+kula	I eat	ninakula
NEG+1s+PRES+kula	I do not eat	sili
2s+PRES+kuandika	you write	unaandika
NEG+2s+PRES+kuandika	you do not write	huandiki
1p+PRES+kujibu	we answer	tunajibu
NEG+1p+PRES+kujibu	we do not answer	hatujibu
1s+PAST+kula	I ate	nilikula
NEG+1s+PAST+kula	I did not eat	sikula
2s+PAST+kuandika	you wrote	uliandika
NEG+2s+PAST+kuandika	you did not write	hukuandika
1p+PAST+kujibu	we answered	tulijibu
NEG+1p+PAST+kujibu	we did not answer	hatukujibu
1s+PERF+kula	I have eaten	nimekula
NEG+1s+PERF+kula	I have not eaten	sijala
2s+PERF+kuandika	you have written	umeandika
NEG+2s+PERF+kuandika	you have not written	hujaandika
1p+PERF+kujibu	we have answered	tumejibu
NEG+1p+PERF+kujibu	we have not answered	hatujajibu
1s+FUT+kula	I will eat	nitakula
NEG+1s+FUT+kula	I will not eat	sitakula
2s+FUT+kuandika	you will write	utaandika
NEG+2s+FUT+kuandika	you will not write	hutaandika
1p+FUT+kujibu	we will answer	tutajibu
NEG+1p+FUT+kujibu	we will not answer	hatutajibu
NEG+3p+PRES+kufaa	they are not suitable	hawafai
1s+PAST+kufungua	I opened	nilifungua
1s+PAST+kufunga	I closed	nilifunga
NEG+1s+PERF+kuanza	I have not started	sijaanza
1s+PERF+kuanza	I have started	nimeanza
1s+PRES+kumaanisha	I mean	ninamaanisha
2s+PRES+kusema	you say	unasema
3p+PAST+kusema	they said	walisema
2s+PAST+kusema	you said	ulisema
2s+PRES+kuongea	you speak	unaongea
2s+IMP+kuongea	speak	ongea
NEG+1s+PRES+kuongea	I do not speak	siongei
2s+PRES+kuelewa	you understand	unaelewa
NEG+1s+PRES+kuelewa	I do not understand	sielewi
2s+PERF+kuelewa	you have understood	umeelewa
1s+PAST+kuzungumza	I conversed	nilizungumza
1p+PRES+kuomba	we request	tunaomba
2s+IMP+kuandika	write	andika
2s+PRES+kusifia	you recommend	unasifia
2s+IMP+kuhakikisha	confirm	hakikisha
1s+PAST+kusoma	I read	nilisoma
1s+PRES+kuitwa	I am named	ninaitwa
3s+PRES+kuitwa	(s)he is named	anaitwa
1s+PRES+kutoka	I come from	ninatoka
2s+PRES+kutoka	you come from	unatoka
1s+PERF+kutoka	I have come from	nimetoka
3p+PERF+kuishi	they have lived	wameishi
1p+PRES+kuishi	we live	tunaishi
NEG+1p+PRES+kuishi	we do not live	hatuishi
1p+PRES+kukaa	we stay	tunakaa
NEG+1p+PRES+kukaa	we do not stay	hatukai
NEG+1s+FUT+kufa	I will not die	sitakufa
2s+PERF+kuzaliwa	you have been born	umezaliwa
1s+PERF+kuzaliwa	I have been born	nimezaliwa
1s+PERF+kutoa	I have subtracted	nimetoa
1p+FUT+kulipa	we will pay	tutalipa
1s+FUT+kupata	I will get	nitapata
1s+PAST+kupata	I got	nilipata
2s+PERF+kuleta	you have brought	umeleta
2s+IMP+kuchukua	take	chukua
2s+IMP+kuweka	put	weka
2s+PAST+kuweka	you put	uliweka
1s+PAST+kupeleka	I took	nilipeleka
2s+IMP+kupita	pass	pita
2s+PERF+kupokea	you have received	umepokea
1s+PRES+kuja	I come	ninakuja
3s+PAST+kuja	(s)he came	alikuja
2s+PRES+kuelekea	you go	unaelekea
1p+PRES+kuondoka	we depart	tunaondoka
2s+IMP+kuondoka	depart	ondoka
1p+FUT+kurudi	we will return	tutarudi
1s+FUT+kurudi	I will return	nitarudi
2s+PAST+kupitia	you visited	ulipitia
2s+PRES+kufanya	you do	unafanya
1p+PAST+kufika	we arrived	tulifika
1s+PERF+kupotea	I have been lost	nimepotea
NEG+1p+PERF+kupotea	we have not been lost	hatujapotea
2s+IMP+kupinda	turn	pinda
1p+PERF+kufikia	we have arrived at	tumefikia
1s+PAST+kukimbia	I ran	nilikimbia
2s+PRES+kuuza	you sell	unauza
2s+IMP+kula	eat	kula
1s+PRES+kuosha	I wash	ninaosha
2s+IMP+kuzima	turn off	zima
2s+IMP+kuwasha	turn on	washa
1s+PRES+kutengeneza	I make	ninatengeneza
2s+IMP+kuongeza	add	ongeza
2s+IMP+kuacha	leave	acha
1s+PAST+kuanda	I prepared	nilianda
