kuacha	leave
kuagiza	order
kuambia	tell
kuamini	believe
kuamka	awaken
kuamua	decide
kuanda	prepare
kuandika	write
kuangalia	look
kuanguka	fall
kuanza	start
kubadilishana	exchange
kubeba	carry
kubisha	disagree
kuchagua	choose
kuchanganya	mix
kucheka	laugh
kuchelewa	be late
kuchemsha	boil
kucheza	play
kuchoka	tire
kuchukia	hate
kuchukua	take
kuelekea	go
kuelewa	understand
kueleza	explain
kuendelea	continue
kuendesha	drive
kufa	die
kufaa	be suitable
kufanana	resemble
kufanyika	happen
kufanya	do
kufariki	die
kufika	arrive
kufikia	arrive at
kufikiri	think
kufikiria	think about
kufunga	close
kufungua	open
kufunza	teach
kufurahi	be happy
kugawana	share
kugombana	argue
kugusa	touch
kuhakikisha	confirm
kuhisi	feel
kuhitaji	need
kuiba	steal
kuimba	sing
kuingia	enter
kuisha	end
kuishi	live
kuitwa	be named
kuja	come
kujali	care
kujaribu	try
kujenga	build
kujibu	answer
kujifunza	learn
kujitahidi	improve
kujua	know
kukaa	stay
kukaanga	fry
kukaribia	approach
kukasirika	be angry
kukata	cut
kukimbia	run
kukisi	kiss
kukodisha	rent
kukodishwa	rent
kukonda	lose weight
kukosea	be wrong
kukubali	agree
kukulia	grow up
kukumbuka	remember
kukumbusha	remind
kula	eat
kulala	sleep
kuleta	bring
kulia	cry
kulipa	pay
kumaanisha	mean
kumaliza	finish
kunenepa	put on weight
kununua	buy
kunywa	drink
kuogelea	swim
kuogopa	fear
kuomba	request
kuona	see
kuondoka	depart
kuonekana	resemble
kuongea	speak
kuongeza	add
kuonja	taste
kuonyesha	show
kuosha	wash
kupa	give
kupanga	plan
kupata	get
kupeleka	take
kupenda	love
kupendelea	prefer
kupendeza	look great
kupika	cook
kupinda	turn
kupita	pass
kupitia	visit
kupokea	receive
kupotea	be lost
kupoteza	lose
kupumzika	rest
kupunguza	reduce
kurekebisha	repair
kuripoti	report
kurudi	return
kuruhusu	allow
kuruka	jump
kusafisha	clean
kusahau	forget
kusaidia	help
kusali	pray
kusema	say
kushiba	be full
kushiriki	share
kushtuka	be shocked
kusifia	recommend
kusikia	hear
kusikiliza	listen
kusimama	stop
kusoma	read
kusomea	study
kustahili	be required
kustarehe	relax
kusubiri	wait
kusumbuka	worry
kutafuta	look for
kutaka	want
kutamani	wish
kutambua	realize
kutarajia	expect
kutazama	watch
kutegemea	plan
kutembea	walk
kutembelea	visit
kutengeneza	make
kutoa	subtract
kutoka	come from
kutosha	suffice
kutuma	send
kutumaini	hope
kutumia	use
kuua	kill
kuuliza	ask
kuuma	bite
kuumwa	be sick
kuuza	sell
kuvaa	wear
kuvuka	cross
kuvunja	break
kuwasiliana	communicate
kuwasha	turn on
kuwaza	think
kuweka	put
kuweza	be able
kuzaliwa	be born
kuzima	turn off
kuzoea	be used to
kuzungumza	converse
kwenda	go
kwisha	finish
