3s+PAST+kujifunza	(s)he learned	alijifunza
NEG+2s+PAST+kuandika	you did not write	hukuandika
1p+PAST+kufa	we died	tulikufa
1s+PERF+kukosea	I have been wrong	nimekosea
3s+PRES+kuchemsha	(s)he boils	anachemsha
2s+FUT+kuuza	you will sell	utauza
NEG+2p+FUT+kukodisha	ye will not rent	hamtakodisha
2s+PERF+kuvunja	you have broken	umevunja
2p+PERF+kushiriki	ye have shared	mmeshiriki
NEG+1p+PRES+kucheza	we do not play	hatuchezi
NEG+2p+PRES+kutengeneza	ye do not make	hamtengenezi
3p+PRES+kupeleka	they take	wanapeleka
2s+FUT+kuomba	you will request	utaomba
2p+PERF+kukodisha	ye have rented	mmekodisha
1p+PERF+kwisha	we have finished	tumeisha
3s+PAST+kufunga	(s)he closed	alifunga
NEG+2s+PRES+kukodisha	you do not rent	hukodishi
2p+IMP+kuua	kill	ueni
NEG+2s+PERF+kuagiza	you have not ordered	hujaagiza
1s+FUT+kufanya	I will do	nitafanya
3p+PERF+kukaa	they have stayed	wamekaa
NEG+1p+FUT+kuelewa	we will not understand	hatutaelewa
2p+PRES+kuleta	ye bring	mnaleta
NEG+3s+PRES+kutuma	(s)he does not send	hatumi
2s+PRES+kuelekea	you go	unaelekea
3s+PRES+kuongeza	(s)he adds	anaongeza
1p+PRES+kununua	we buy	tunanunua
3s+PAST+kuhitaji	(s)he needed	alihitaji
NEG+2s+PRES+kupenda	you do not love	hupendi
NEG+1p+PERF+kusimama	we have not stopped	hatujasimama
NEG+1p+PERF+kuzoea	we have not been used to	hatujazoea
NEG+3s+FUT+kuandika	(s)he will not write	hataandika
3s+PAST+kubeba	(s)he carried	alibeba
3s+PRES+kusikia	(s)he hears	anasikia
NEG+3p+FUT+kusikia	they will not hear	hawatasikia
NEG+1s+PAST+kuchukia	I did not hate	sikuchukia
NEG+2p+PRES+kuanza	ye do not start	hamanzi
NEG+1s+PRES+kuogelea	I do not swim	siogelei
NEG+3s+FUT+kufikia	(s)he will not arrive at	hatafikia
NEG+1p+PRES+kusikia	we do not hear	hatusikii
3p+PRES+kujaribu	they try	wanajaribu
NEG+1s+PERF+kuchukia	I have not hated	sijachukia
NEG+3s+PRES+kutengeneza	(s)he does not make	hatengenezi
NEG+2s+PERF+kustarehe	you have not relaxed	hujastarehe
3s+PERF+kushiriki	(s)he has shared	ameshiriki
3s+PRES+kukaanga	(s)he fries	anakaanga
NEG+1p+FUT+kusomea	we will not study	hatutasomea
NEG+3s+PERF+kusali	(s)he has not prayed	hajasali
1s+PERF+kucheza	I have played	nimecheza
NEG+1s+PRES+kukodisha	I do not rent	sikodishi
3s+PRES+kuendelea	(s)he continues	anaendelea
1p+PERF+kuamua	we have decided	tumeamua
NEG+2p+PAST+kutaka	ye did not want	hamkutaka
NEG+3p+PERF+kuwasiliana	they have not communicated	hawajawasiliana
3p+PERF+kuchoka	they have tired	wamechoka
2p+PRES+kuimba	ye sing	mnaimba
NEG+2p+PERF+kushiriki	ye have not shared	hamjashiriki
1s+PERF+kupa	I have given	nimekupa
1p+PERF+kuvunja	we have broken	tumevunja
NEG+3p+FUT+kumaliza	they will not finish	hawatamaliza
NEG+1s+FUT+kubeba	I will not carry	sitabeba
NEG+3p+FUT+kupinda	they will not turn	hawatapinda
3s+PERF+kuweka	(s)he has put	ameweka
3p+FUT+kuonja	they will taste	wataonja
NEG+1p+PERF+kutazama	we have not watched	hatujatazama
NEG+2s+PRES+kuhisi	you do not feel	huhisi
2p+PERF+kuweka	ye have put	mmeweka
3p+FUT+kukonda	they will lose weight	watakonda
NEG+1s+PERF+kuwasiliana	I have not communicated	sijawasiliana
NEG+3p+FUT+kupotea	they will not be lost	hawatapotea
NEG+2s+PERF+kusomea	you have not studied	hujasomea
1p+PERF+kufikia	we have arrived at	tumefikia
NEG+1s+PRES+kusikia	I do not hear	sisikii
NEG+1s+PAST+kutarajia	I did not expect	sikutarajia
3s+PAST+kushiba	(s)he was full	alishiba
NEG+1s+PAST+kutazama	I did not watch	sikutazama
1p+PERF+kukubali	we have agreed	tumekubali
NEG+1p+PERF+kupita	we have not passed	hatujapita
2s+PAST+kutaka	you wanted	ulitaka
1s+PAST+kuiba	I stole	niliiba
3p+FUT+kurudi	they will return	watarudi
NEG+3s+PAST+kuhitaji	(s)he did not need	hakuhitaji
NEG+1p+FUT+kupendelea	we will not prefer	hatutapendelea
NEG+3p+PERF+kuelewa	they have not understood	hawajaelewa
2s+IMP+kununua	buy	nunua
NEG+2p+FUT+kupinda	ye will not turn	hamtapinda
NEG+1s+PERF+kuchelewa	I have not been late	sijachelewa
NEG+2s+PERF+kupanga	you have not planned	hujapanga
NEG+1p+FUT+kutembelea	we will not visit	hatutatembelea
NEG+1s+FUT+kusema	I will not say	sitasema
NEG+2p+PERF+kuchagua	ye have not chosen	hamjachagua
NEG+1p+PRES+kuonekana	we do not resemble	hatuonekani
NEG+2s+PAST+kutembea	you did not walk	hukutembea
3s+FUT+kuelewa	(s)he will understand	ataelewa
NEG+3p+FUT+kupanga	they will not plan	hawatapanga
NEG+3s+PRES+kuripoti	(s)he does not report	haripoti
NEG+2p+PRES+kuhisi	ye do not feel	hamhisi
NEG+1p+PAST+kuingia	we did not enter	hatukuingia
NEG+2s+PRES+kusumbuka	you do not worry	husumbuki
NEG+1p+PERF+kupoteza	we have not lost	hatujapoteza
1p+FUT+kuisha	we will end	tutaisha
1s+PRES+kuchukia	I hate	ninachukia
1p+FUT+kurudi	we will return	tutarudi
NEG+1s+PERF+kukaa	I have not stayed	sijakaa
2s+PAST+kuendesha	you drove	uliendesha
2p+PERF+kusomea	ye have studied	mmesomea
2p+PRES+kufikiri	ye think	mnafikiri
3p+FUT+kuruhusu	they will allow	wataruhusu
NEG+2p+PRES+kueleza	ye do not explain	hamelezi
1p+PERF+kupumzika	we have rested	tumepumzika
1p+PAST+kupoteza	we lost	tulipoteza
NEG+3s+PAST+kupa	(s)he did not give	hakupa
NEG+1p+PAST+kununua	we did not buy	hatukununua
NEG+3p+PERF+kusikia	they have not heard	hawajasikia
2p+FUT+kujifunza	ye will learn	mtajifunza
3p+PRES+kutumaini	they hope	wanatumaini
NEG+1p+PRES+kuumwa	we are not sick	hatuumwi
1s+FUT+kuuliza	I will ask	nitauliza
3p+PAST+kuamka	they awakened	waliamka
NEG+2s+PERF+kuomba	you have not requested	hujaomba
NEG+1p+PAST+kuchoka	we did not tire	hatukuchoka
3s+PERF+kuwaza	(s)he has thought	amewaza
2s+PERF+kutumaini	you have hoped	umetumaini
1p+PAST+kuchagua	we chose	tulichagua
NEG+1p+PERF+kumaliza	we have not finished	hatujamaliza
NEG+2s+PAST+kuamua	you did not decide	hukuamua
NEG+1p+FUT+kutafuta	we will not look for	hatutatafuta
NEG+3p+PRES+kuonekana	they do not resemble	hawaonekani
1p+PAST+kufungua	we opened	tulifungua
3p+PAST+kusikiliza	they listened	walisikiliza
3p+PERF+kuvaa	they have worn	wamevaa
1p+PERF+kupotea	we have been lost	tumepotea
2s+FUT+kuamka	you will awaken	utaamka
NEG+1s+FUT+kuruhusu	I will not allow	sitaruhusu
NEG+2p+PRES+kuvunja	ye do not break	hamvunji
NEG+2s+PERF+kufariki	you have not died	hujafariki
NEG+2p+PERF+kutosha	ye have not sufficed	hamjatosha
3p+PRES+kupika	they cook	wanapika
NEG+1p+PRES+kurekebisha	we do not repair	haturekebishi
3p+PAST+kuiba	they stole	waliiba
NEG+1s+PRES+kubeba	I do not carry	sibebi
1s+PERF+kupendelea	I have preferred	nimependelea
1p+PRES+kuanguka	we fall	tunaanguka
NEG+2s+PAST+kukulia	you did not grow up	hukukulia
2s+PERF+kuzungumza	you have conversed	umezungumza
NEG+2p+PRES+kutamani	ye do not wish	hamtamani
3p+PAST+kuleta	they brought	walileta
3p+PRES+kusimama	they stop	wanasimama
2s+FUT+kutumia	you will use	utatumia
NEG+2p+PAST+kumaliza	ye did not finish	hamkumaliza
3s+PRES+kutembelea	(s)he visits	anatembelea
3s+PRES+kuanza	(s)he starts	anaanza
2s+FUT+kutaka	you will want	utataka
NEG+3p+PERF+kuishi	they have not lived	hawajaishi
3s+PAST+kutarajia	(s)he expected	alitarajia
NEG+1s+FUT+kunenepa	I will not put on weight	sitanenepa
NEG+2s+PAST+kutambua	you did not realize	hukutambua
NEG+3p+PRES+kupunguza	they do not reduce	hawapunguzi
2s+PRES+kukimbia	you run	unakimbia
NEG+3p+PAST+kujaribu	they did not try	hawakujaribu
3p+FUT+kukumbusha	they will remind	watakumbusha
NEG+2p+PAST+kuja	ye did not come	hamkuja
NEG+1p+PAST+kusema	we did not say	hatukusema
1s+PAST+kubisha	I disagreed	nilibisha
NEG+1p+FUT+kutoa	we will not subtract	hatutatoa
NEG+1s+PAST+kuitwa	I was not named	sikuitwa
1s+FUT+kuuma	I will bite	nitauma
1s+PAST+kupunguza	I reduced	nilipunguza
2p+IMP+kupa	give	kupeni
3s+PERF+kuendelea	(s)he has continued	ameendelea
NEG+1s+FUT+kujitahidi	I will not improve	sitajitahidi
NEG+3s+PERF+kuonja	(s)he has not tasted	hajaonja
1p+FUT+kusumbuka	we will worry	tutasumbuka
NEG+3p+PAST+kuzaliwa	they were not born	hawakuzaliwa
2s+IMP+kutembea	walk	tembea
NEG+1s+FUT+kusifia	I will not recommend	sitasifia
3s+PAST+kuhakikisha	(s)he confirmed	alihakikisha
3s+PERF+kuonyesha	(s)he has shown	ameonyesha
3p+PERF+kuandika	they have written	wameandika
2p+PAST+kufanana	ye resembled	mlifanana
NEG+3p+PAST+kuisha	they did not end	hawakuisha
NEG+1p+PRES+kupenda	we do not love	hatupendi
NEG+1p+FUT+kutumaini	we will not hope	hatutatumaini
NEG+3s+PRES+kukumbusha	(s)he does not remind	hakumbushi
NEG+3s+PAST+kuuliza	(s)he did not ask	hakuuliza
NEG+3p+PRES+kujenga	they do not build	hawajengi
NEG+1p+PERF+kusafisha	we have not cleaned	hatujasafisha
2s+PRES+kukubali	you agree	unakubali
3p+FUT+kujali	they will care	watajali
NEG+1s+PRES+kupoteza	I do not lose	sipotezi
2s+PRES+kukaa	you stay	unakaa
NEG+2p+PRES+kukasirika	ye are not angry	hamkasiriki
1p+PAST+kugawana	we shared	tuligawana
NEG+2p+PAST+kueleza	ye did not explain	hamkueleza
2p+IMP+kutembea	walk	tembeeni
NEG+3s+PAST+kufurahi	(s)he was not happy	hakufurahi
NEG+2s+FUT+kuchukua	you will not take	hutachukua
NEG+3s+PERF+kufikiri	(s)he has not thought	hajafikiri
NEG+3s+FUT+kuumwa	(s)he will not be sick	hataumwa
1p+PRES+kuzoea	we are used to	tunazoea
NEG+3p+PERF+kupika	they have not cooked	hawajapika
2p+IMP+kujibu	answer	jibuni
NEG+1s+PRES+kuchagua	I do not choose	sichagui
NEG+1s+PAST+kutegemea	I did not plan	sikutegemea
2s+FUT+kukisi	you will kiss	utakisi
NEG+2s+PRES+kutaka	you do not want	hutaki
2p+PAST+kuuma	ye bit	mliuma
3s+PAST+kuiba	(s)he stole	aliiba
NEG+2s+PERF+kuvunja	you have not broken	hujavunja
2p+PRES+kuamka	ye awaken	mnaamka
1p+PAST+kutumaini	we hoped	tulitumaini
2p+FUT+kwisha	ye will finish	mtaisha
1s+PRES+kufaa	I am suitable	ninafaa
NEG+2s+PAST+kuamka	you did not awaken	hukuamka
NEG+3s+PRES+kuhitaji	(s)he does not need	hahitaji
2p+PRES+kulia	ye cry	mnalia
2s+FUT+kuja	you will come	utakuja
2s+PERF+kujitahidi	you have improved	umejitahidi
2p+PERF+kupinda	ye have turned	mmepinda
NEG+3s+PAST+kusafisha	(s)he did not clean	hakusafisha
3p+FUT+kutoa	they will subtract	watatoa
1s+PAST+kuambia	I told	niliambia
NEG+3p+PRES+kuuma	they do not bite	hawaumi
NEG+1s+PRES+kuchemsha	I do not boil	sichemshi
NEG+2p+PERF+kuitwa	ye have not been named	hamjaitwa
1p+FUT+kuhisi	we will feel	tutahisi
2p+PAST+kutumaini	ye hoped	mlitumaini
1s+PRES+kuweka	I put	ninaweka
2p+PERF+kuagiza	ye have ordered	mmeagiza
3s+PRES+kuumwa	(s)he is sick	anaumwa
NEG+2p+PERF+kuumwa	ye have not been sick	hamjaumwa
NEG+1p+PAST+kuchanganya	we did not mix	hatukuchanganya
NEG+2p+FUT+kutengeneza	ye will not make	hamtatengeneza
NEG+3p+PAST+kutumaini	they did not hope	hawakutumaini
